#GeneID Symbol Synonyms
1	A1BG	A1B|ABG|DKFZp686F0970|GAB|HYST2477
2	A2M	CPAMD5|DKFZp779B086|FWP007|S863-7|alpha 2M
3	A2MP	-
8	AA	-
9	NAT1	AAC1
10	NAT2	AAC2
11	AACP	NATP
12	SERPINA3	AACT|ACT|GIG24|GIG25|MGC88254
13	AADAC	DAC
14	AAMP	-
15	AANAT	AA-NAT|SNAT
16	AARS	-
17	AAVS1	AAV
18	ABAT	GABA-AT|GABAT|NPD009
19	ABCA1	ABC-1|ABC1|CERP|FLJ14958|HDLDT1|TGD
20	ABCA2	ABC2
21	ABCA3	ABC-C|ABC3|EST111653|LBM180|MGC72201
22	ABCB7	ABC7|ASAT|Atm1p|EST140535
23	ABCF1	ABC27|ABC50
24	ABCA4	ABC10|ABCR|ARMD2|CORD3|DKFZp781N1972|FFM|RMP|RP19|STGD|STGD1
25	ABL1	ABL|JTK7|c-ABL|p150|v-abl
26	ABP1	ABP|AOC1|DAO|DAO1|KAO
27	ABL2	ABLL|ARG
28	ABO	A3GALNT|A3GALT1|GTB|NAGAT
29	ABR	FLJ45954|MDB
30	ACAA1	ACAA|PTHIO|THIO
31	ACACA	ACAC|ACC|ACC1|ACCA
32	ACACB	ACC2|ACCB|HACC275
33	ACADL	ACAD4|LCAD
34	ACADM	ACAD1|MCAD|MCADH
35	ACADS	ACAD3|SCAD
36	ACADSB	2-MEBCAD|ACAD7|SBCAD
37	ACADVL	ACAD6|LCACD|VLCAD
38	ACAT1	ACAT|MAT|T2|THIL
39	ACAT2	-
40	ACCN1	ACCN|ASIC2|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1
41	ACCN2	ASIC|ASIC1A|BNaC2|hBNaC2
43	ACHE	ARACHE|N-ACHE|YT
46	ACLS	-
47	ACLY	ACL|ATPCL|CLATP
48	ACO1	IREB1|IREBP|IRP1
49	ACR	-
50	ACO2	ACONM|MGC20605|MGC33908
51	ACOX1	ACOX|MGC1198|PALMCOX|SCOX
52	ACP1	HAAP|MGC111030|MGC3499
53	ACP2	-
54	ACP5	MGC117378|TRAP
55	ACPP	ACP-3|ACP3|PAP
56	ACRV1	D11S4365|SP-10|SPACA2
58	ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3
59	ACTA2	ACTSA
60	ACTB	PS1TP5BP1
61	ACTBP1	-
62	ACTBP2	-
63	ACTBP3	-
64	ACTBP4	-
65	ACTBP5	-
66	ACTBP6	-
67	ACTBP7	-
68	ACTBP8	ACTBP2
69	ACTBP9	-
70	ACTC1	ACTC|CMD1R
71	ACTG1	ACT|ACTG|DFNA20|DFNA26
72	ACTG2	ACT|ACTA3|ACTE|ACTL3|ACTSG
73	ACTGP1	-
74	ACTGP2	ACTL2
75	ACTGP3	dJ545L17.4
76	ACTGP4	-
77	ACTGP5	-
78	ACTGP6	-
79	ACTGP7	-
80	ACTGP8	-
81	ACTN4	DKFZp686K23158|FSGS|FSGS1
82	ACTGP9	-
83	ACTGP10	ACTL1|ACTP1
84	ACTL4	-
85	ACTL5	ACTFIB
86	ACTL6A	ACTL6|BAF53A|MGC5382
