id	symbol	sid	xref_key	xref_dbname
75330	DNS2A_HUMAN	92001	O00115	UniProt
75331	BACH_HUMAN	92001	O00154	UniProt
75332	TRAF5_HUMAN	92001	O00463	UniProt
75333	LIPA3_HUMAN	92001	O75145	UniProt
75334	OXDD_HUMAN	92001	Q99489	UniProt
75335	CENG1_HUMAN	92001	Q99490	UniProt
75336	RNF2_HUMAN	92001	Q99496	UniProt
75337	PARK7_HUMAN	92001	Q99497	UniProt
75338	EDG3_HUMAN	92001	Q99500	UniProt
75339	GA2L1_HUMAN	92001	Q99501	UniProt
75340	EYA1_HUMAN	92001	Q99502	UniProt
75341	EYA3_HUMAN	92001	Q99504	UniProt
75342	FMO2_HUMAN	92001	Q99518	UniProt
75343	NEUR1_HUMAN	92001	Q99519	UniProt
75344	HIP1R_HUMAN	92001	O75146	UniProt
75345	SORT_HUMAN	92001	Q99523	UniProt
75346	FOXE2_HUMAN	92001	Q99526	UniProt
75347	CML2_HUMAN	92001	Q99527	UniProt
75348	VAT1_HUMAN	92001	Q99536	UniProt
75349	LGMN_HUMAN	92001	Q99538	UniProt
75350	ADFP_HUMAN	92001	Q99541	UniProt
75351	MMP19_HUMAN	92001	Q99542	UniProt
75352	ZRF1_HUMAN	92001	Q99543	UniProt
75353	ZWIA_HUMAN	92001	Q99546	UniProt
75354	MPH6_HUMAN	92001	Q99547	UniProt
75355	BRE1B_HUMAN	92001	O75150	UniProt
75356	MPP8_HUMAN	92001	Q99549	UniProt
75357	MPP9_HUMAN	92001	Q99550	UniProt
75358	MTERF_HUMAN	92001	Q99551	UniProt
75359	M3K14_HUMAN	92001	Q99558	UniProt
75360	NUP88_HUMAN	92001	Q99567	UniProt
75361	PKP4_HUMAN	92001	Q99569	UniProt
75362	PI3R4_HUMAN	92001	Q99570	UniProt
75363	P2RX4_HUMAN	92001	Q99571	UniProt
75364	P2RX7_HUMAN	92001	Q99572	UniProt
75365	NEUS_HUMAN	92001	Q99574	UniProt
75366	PHF2_HUMAN	92001	O75151	UniProt
75367	POP1_HUMAN	92001	Q99575	UniProt
75368	T22D3_HUMAN	92001	Q99576	UniProt
75369	RIT2_HUMAN	92001	Q99578	UniProt
75370	MNT_HUMAN	92001	Q99583	UniProt
75371	S10AD_HUMAN	92001	Q99584	UniProt
75372	SFRIP_HUMAN	92001	Q99590	UniProt
75373	ZN238_HUMAN	92001	Q99592	UniProt
75374	TBX5_HUMAN	92001	Q99593	UniProt
75375	TEAD3_HUMAN	92001	Q99594	UniProt
75376	TI17A_HUMAN	92001	Q99595	UniProt
75377	ZC11A_HUMAN	92001	O75152	UniProt
75378	TSNAX_HUMAN	92001	Q99598	UniProt
75379	ELF4_HUMAN	92001	Q99607	UniProt
75380	NECD_HUMAN	92001	Q99608	UniProt
75381	SPS2_HUMAN	92001	Q99611	UniProt
75382	KLF6_HUMAN	92001	Q99612	UniProt
75383	IF38_HUMAN	92001	Q99613	UNIPROT
75384	TTC1_HUMAN	92001	Q99614	UniProt
75385	DNJC7_HUMAN	92001	Q99615	UniProt
75386	CCL13_HUMAN	92001	Q99616	UniProt
75387	IF3X_HUMAN	92001	O75153	UniProt
75388	PHB2_HUMAN	92001	Q99623	UniProt
75389	S38A3_HUMAN	92001	Q99624	UniProt
75390	CDX2_HUMAN	92001	Q99626	UniProt
75391	CSN8_HUMAN	92001	Q99627	UniProt
75392	PRP18_HUMAN	92001	Q99633	UniProt
75393	PMYT1_HUMAN	92001	Q99640	UniProt
75394	C560_HUMAN	92001	Q99643	UniProt
75395	PGLB_HUMAN	92001	Q99645	UniProt
75396	CHP1_HUMAN	92001	Q99653	UniProt
75397	KIF2C_HUMAN	92001	Q99661	UNIPROT
75398	RFIP3_HUMAN	92001	O75154	UniProt
75399	I12R2_HUMAN	92001	Q99665	UniProt
75400	RGPD8_HUMAN	92001	Q99666	UniProt
75401	CGRE1_HUMAN	92001	Q99674	UniProt
75402	CGRF1_HUMAN	92001	Q99675	UniProt
75403	ZN184_HUMAN	92001	Q99676	UniProt
75404	P2RY9_HUMAN	92001	Q99677	UniProt
75405	GPR20_HUMAN	92001	Q99678	UniProt
75406	GPR21_HUMAN	92001	Q99679	UniProt
75407	GPR22_HUMAN	92001	Q99680	UniProt
75408	M3K5_HUMAN	92001	Q99683	UniProt
75409	CAND2_HUMAN	92001	O75155	UniProt
75410	GFI1_HUMAN	92001	Q99684	UniProt
75411	MGLL_HUMAN	92001	Q99685	UniProt
75412	MEIS3_HUMAN	92001	Q99687	UniProt
75413	FEZ1_HUMAN	92001	Q99689	UniProt
75414	PITX2_HUMAN	92001	Q99697	UniProt
75415	LYST_HUMAN	92001	Q99698	UniProt
75416	ATX2_HUMAN	92001	Q99700	UniProt
75417	DOK1_HUMAN	92001	Q99704	UniProt
75418	MCHR1_HUMAN	92001	Q99705	UniProt
75419	KI2L4_HUMAN	92001	Q99706	UniProt
75420	T22D2_HUMAN	92001	O75157	UniProt
75421	METH_HUMAN	92001	Q99707	UNIPROT
75422	RBBP8_HUMAN	92001	Q99708	UniProt
75423	IRK15_HUMAN	92001	Q99712	UniProt
75424	HCD2_HUMAN	92001	Q99714	UniProt
75425	COCA1_HUMAN	92001	Q99715	UniProt
75426	SMAD5_HUMAN	92001	Q99717	UniProt
75427	SEPT5_HUMAN	92001	Q99719	UniProt
75428	ZNT3_HUMAN	92001	Q99726	UNIPROT
75429	TIMP4_HUMAN	92001	Q99727	UniProt
75430	BARD1_HUMAN	92001	Q99728	UniProt
75431	SOCS5_HUMAN	92001	O75159	UniProt
75432	ROAA_HUMAN	92001	Q99729	UniProt
75433	CCL19_HUMAN	92001	Q99731	UniProt
75434	LITAF_HUMAN	92001	Q99732	UniProt
75435	NP1L4_HUMAN	92001	Q99733	UniProt
75436	MGST2_HUMAN	92001	Q99735	UniProt
75437	CDC6_HUMAN	92001	Q99741	UniProt
75438	NPAS1_HUMAN	92001	Q99742	UniProt
75439	NPAS2_HUMAN	92001	Q99743	UniProt
75440	SNAG_HUMAN	92001	Q99747	UniProt
75441	NRTN_HUMAN	92001	Q99748	UniProt
75442	AGRN_HUMAN	92001	O00468	UniProt
75443	NPH4_HUMAN	92001	O75161	UniProt
75444	MDFI_HUMAN	92001	Q99750	UniProt
75445	PI51A_HUMAN	92001	Q99755	UniProt
75446	THIOM_HUMAN	92001	Q99757	UniProt
75447	ABCA3_HUMAN	92001	Q99758	UNIPROT
75448	M3K3_HUMAN	92001	Q99759	UniProt
