id	symbol	sid	xref_key	xref_dbname
1867962	15S_RRNA	97048	15S_rRNA	SGD
1867962	15S_RRNA	97048	15S_RRNA_2	SGD
1867963	21S_RRNA	97048	21S_rRNA	SGD
1867963	21S_RRNA	97048	21S_rRNA_3	SGD
1867963	21S_RRNA	97048	21S_rRNA_4	SGD
1867964	AAC1	97048	YMR056C	SGD
1867965	AAC3	97048	ANC3	SGD
1867965	AAC3	97048	YBR085W	SGD
1867966	AAD10	97048	YJR155W	SGD
1867967	AAD14	97048	YNL331C	SGD
1867968	AAD15	97048	YOL165C	SGD
1867969	AAD16	97048	YFL057C	SGD
1867970	AAD3	97048	YCR107W	SGD
1867971	AAD4	97048	YDL243C	SGD
1867972	AAD6	97048	YFL056C	SGD
1867973	AAH1	97048	YNL141W	SGD
1867974	AAP1	97048	AAP1'	SGD
1867974	AAP1	97048	YHR047C	SGD
1867975	AAR2	97048	YBL074C	SGD
1867976	AAT1	97048	YKL106W	SGD
1867977	AAT2	97048	ASP5	SGD
1867977	AAT2	97048	YLR027C	SGD
1867978	ABC1	97048	COQ8	SGD
1867978	ABC1	97048	YGL119W	SGD
1867979	ABD1	97048	YBR236C	SGD
1867980	ABF1	97048	BAF1	SGD
1867980	ABF1	97048	OBF1	SGD
1867980	ABF1	97048	REB2	SGD
1867980	ABF1	97048	SBF1	SGD
1867980	ABF1	97048	YKL112W	SGD
1867981	ABF2	97048	YMR072W	SGD
1867982	ABM1	97048	YJR108W	SGD
1867983	ABP1	97048	YCR088W	SGD
1867984	ABP140	97048	YOR239W	SGD
1867984	ABP140	97048	YOR240W	SGD
1867985	ABZ1	97048	YNR033W	SGD
1867986	ABZ2	97048	YMR289W	SGD
1867987	ACA1	97048	YER045C	SGD
1867988	ACB1	97048	YGR037C	SGD
1867989	ACC1	97048	ABP2	SGD
1867989	ACC1	97048	FAS3	SGD
1867989	ACC1	97048	MTR7	SGD
1867989	ACC1	97048	YNR016C	SGD
1867990	ACE2	97048	YLR131C	SGD
1867991	ACF2	97048	ENG2	SGD
1867991	ACF2	97048	PCA1	SGD
1867991	ACF2	97048	YLR144C	SGD
1867992	ACF4	97048	YJR083C	SGD
1867993	ACH1	97048	YBL015W	SGD
1867994	ACK1	97048	YDL203C	SGD
1867995	ACM1	97048	YPL267W	SGD
1867996	ACN9	97048	YDR511W	SGD
1867997	ACO1	97048	GLU1	SGD
1867997	ACO1	97048	YLR304C	SGD
1867998	ACO2	97048	YJL200C	SGD
1867999	ACP1	97048	YKL192C	SGD
1868000	ACS1	97048	FUN44	SGD
1868000	ACS1	97048	YAL054C	SGD
1868001	ACS2	97048	YLR153C	SGD
1868002	ACT1	97048	ABY1	SGD
1868002	ACT1	97048	actin	SGD
1868002	ACT1	97048	END7	SGD
1868002	ACT1	97048	YFL039C	SGD
1868003	ADA2	97048	SWI8	SGD
1868003	ADA2	97048	YDR448W	SGD
1868004	ADD37	97048	YMR184W	SGD
1868005	ADD66	97048	YKL206C	SGD
1868006	ADE1	97048	YAR015W	SGD
1868007	ADE12	97048	BRA9	SGD
1868007	ADE12	97048	YNL220W	SGD
1868008	ADE13	97048	BRA1	SGD
1868008	ADE13	97048	BRA8	SGD
1868008	ADE13	97048	YLR359W	SGD
1868009	ADE16	97048	YLR028C	SGD
1868010	ADE17	97048	YMR120C	SGD
1868011	ADE2	97048	YOR128C	SGD
1868012	ADE3	97048	YGR204W	SGD
1868013	ADE4	97048	YMR300C	SGD
1868014	ADE5,7	97048	YGL234W	SGD
1868015	ADE6	97048	YGR061C	SGD
1868016	ADE8	97048	YDR408C	SGD
1868017	ADH1	97048	ADC1	SGD
1868017	ADH1	97048	YOL086C	SGD
1868018	ADH2	97048	ADR2	SGD
1868018	ADH2	97048	YMR303C	SGD
1868019	ADH3	97048	YMR083W	SGD
1868020	ADH4	97048	NRC465	SGD
1868020	ADH4	97048	YGL256W	SGD
1868020	ADH4	97048	ZRG5	SGD
1868021	ADH5	97048	YBR145W	SGD
1868022	ADH6	97048	ADHVI	SGD
1868022	ADH6	97048	YMR318C	SGD
1868023	ADH7	97048	ADHVII	SGD
1868023	ADH7	97048	YCR105W	SGD
1868024	ADI1	97048	YMR009W	SGD
1868025	ADK1	97048	AKY1	SGD
1868025	ADK1	97048	AKY2	SGD
1868025	ADK1	97048	YDR226W	SGD
1868026	ADK2	97048	AKY3	SGD
1868026	ADK2	97048	PAK3	SGD
1868026	ADK2	97048	YER170W	SGD
1868027	ADO1	97048	YJR105W	SGD
1868028	ADP1	97048	YCR011C	SGD
1868029	ADR1	97048	YDR216W	SGD
1868030	ADY2	97048	ATO1	SGD
1868030	ADY2	97048	YCR010C	SGD
1868031	ADY3	97048	YDL239C	SGD
1868032	ADY4	97048	YLR227C	SGD
1868033	AEP1	97048	NCA1	SGD
1868033	AEP1	97048	YMR064W	SGD
1868034	AEP2	97048	ATP13	SGD
1868034	AEP2	97048	YMR282C	SGD
1868035	AEP3	97048	YPL005W	SGD
1868036	AFG1	97048	YEL052W	SGD
1868037	AFG2	97048	DRG1	SGD
1868037	AFG2	97048	YLR397C	SGD
1868038	AFG3	97048	YER017C	SGD
1868038	AFG3	97048	YTA10	SGD
1868039	AFR1	97048	YDR085C	SGD
1868040	AFT2	97048	YPL202C	SGD
1868041	AGA1	97048	YNR044W	SGD
1868042	AGA2	97048	YGL032C	SGD
1868043	AGC1	97048	YPR021C	SGD
1868044	AGE1	97048	SAT1	SGD
1868044	AGE1	97048	YDR524C	SGD
1868045	AGE2	97048	SAT2	SGD
1868045	AGE2	97048	YIL044C	SGD
1868046	AGP1	97048	YCC5	SGD
1868046	AGP1	97048	YCL025C	SGD
1868047	AGP2	97048	YBR132C	SGD
1868048	AGP3	97048	YFL055W	SGD
1868049	AGX1	97048	YFL030W	SGD
1868050	AHA1	97048	YDR214W	SGD
1868051	AHC1	97048	YOR023C	SGD
1868052	AHC2	97048	YCR082W	SGD
1868053	AHP1	97048	cTPxIII	SGD
1868053	AHP1	97048	YLR109W	SGD
1868054	AI1	97048	Q0050	SGD
1868055	AI2	97048	Q0055	SGD
1868056	AI3	97048	Q0060	SGD
1868057	AI4	97048	Q0065	SGD
1868058	AI5_ALPHA	97048	I-SceIV	SGD
1868058	AI5_ALPHA	97048	Q0070	SGD
1868059	AI5_BETA	97048	Q0075	SGD
1868060	AIF1	97048	CPD1	SGD
1868060	AIF1	97048	YNR074C	SGD
1868061	AIP1	97048	YMR092C	SGD
1868062	AIR1	97048	YIL079C	SGD
1868063	AIR2	97048	YDL175C	SGD
1868064	AKL1	97048	YBR059C	SGD
1868065	AKR1	97048	YDR264C	SGD
1868066	AKR2	97048	YOR034C	SGD
1868067	ALA1	97048	CDC64	SGD
1868067	ALA1	97048	YOR335C	SGD
1868068	ALB1	97048	YJL122W	SGD
1868070	ALD2	97048	YMR170C	SGD
1868071	ALD3	97048	YMR169C	SGD
1868072	ALD4	97048	ALD7	SGD
1868072	ALD4	97048	YOR374W	SGD
1868073	ALD5	97048	YER073W	SGD
1868074	ALD6	97048	YPL061W	SGD
1868075	ALF1	97048	YNL148C	SGD
1868076	ALG1	97048	YBR110W	SGD
1868077	ALG11	97048	YNL048W	SGD
1868078	ALG12	97048	ECM39	SGD
1868078	ALG12	97048	YNR030W	SGD
1868079	ALG13	97048	YGL047W	SGD
1868080	ALG14	97048	YBR070C	SGD
1868081	ALG2	97048	YGL065C	SGD
1868082	ALG3	97048	RHK1	SGD
1868082	ALG3	97048	YBL082C	SGD
1868083	ALG5	97048	YPL227C	SGD
1868084	ALG6	97048	YOR002W	SGD
1868085	ALG7	97048	TUR1	SGD
1868085	ALG7	97048	YBR243C	SGD
1868086	ALG8	97048	YOR067C	SGD
1868086	ALG8	97048	YOR29-18	SGD
1868087	ALG9	97048	YNL219C	SGD
1868088	ALK1	97048	YGL021W	SGD
1868089	ALO1	97048	YML086C	SGD
1868090	ALP1	97048	APL1	SGD
1868090	ALP1	97048	YNL270C	SGD
1868091	ALR1	97048	SWC3	SGD
1868091	ALR1	97048	YOL130W	SGD
1868092	ALR2	97048	YFL050C	SGD
1868093	ALT1	97048	YLR089C	SGD
1868094	ALT2	97048	YDR111C	SGD
1868095	AMA1	97048	SPO70	SGD
1868095	AMA1	97048	YGR225W	SGD
1868096	AMD1	97048	AMD3	SGD
1868096	AMD1	97048	YML035C	SGD
1868097	AMD2	97048	YDR242W	SGD
1868098	AME1	97048	ARP100	SGD
1868098	AME1	97048	YBR211C	SGD
1868099	AMN1	97048	CST13	SGD
1868099	AMN1	97048	ICS4	SGD
1868099	AMN1	97048	YBR158W	SGD
1868100	AMS1	97048	YGL156W	SGD
1868101	ANB1	97048	HYP1	SGD
1868101	ANB1	97048	TIF51B	SGD
1868101	ANB1	97048	YJR047C	SGD
1868103	ANP1	97048	GEM3	SGD
1868103	ANP1	97048	MNN8	SGD
1868103	ANP1	97048	YEL036C	SGD
1868104	ANT1	97048	YPR128C	SGD
1868105	AOS1	97048	YPR180W	SGD
1868106	APA1	97048	DTP1	SGD
1868106	APA1	97048	YCL050C	SGD
1868107	APA2	97048	YDR530C	SGD
1868108	APC1	97048	YNL172W	SGD
1868109	APC11	97048	YDL008W	SGD
1868110	APC2	97048	RSI1	SGD
1868110	APC2	97048	YLR127C	SGD
1868111	APC4	97048	YDR118W	SGD
1868112	APC5	97048	RMC1	SGD
1868112	APC5	97048	YOR249C	SGD
1868113	APC9	97048	YLR102C	SGD
1868114	APD1	97048	YBR151W	SGD
1868115	APE2	97048	LAP1	SGD
1868115	APE2	97048	YKL157W	SGD
1868115	APE2	97048	YKL158W	SGD
1868116	APE3	97048	APY1	SGD
1868116	APE3	97048	YBR286W	SGD
1868118	APJ1	97048	YNL077W	SGD
1868119	APL1	97048	YAP80	SGD
1868119	APL1	97048	YJR005W	SGD
1868120	APL2	97048	YKL135C	SGD
1868121	APL3	97048	YBL037W	SGD
1868122	APL4	97048	YPR029C	SGD
1868123	APL5	97048	YKS4	SGD
1868123	APL5	97048	YPL195W	SGD
1868124	APL6	97048	YGR261C	SGD
1868124	APL6	97048	YKS5	SGD
1868125	APM1	97048	YAP54	SGD
1868125	APM1	97048	YPL259C	SGD
1868126	APM2	97048	YHL019C	SGD
1868127	APM3	97048	YBR288C	SGD
1868127	APM3	97048	YKS6	SGD
1868128	APM4	97048	AMP1	SGD
1868128	APM4	97048	YOL062C	SGD
1868129	APN1	97048	YKL114C	SGD
1868130	APN2	97048	ETH1	SGD
1868130	APN2	97048	YBL019W	SGD
1868131	APP1	97048	YNL094W	SGD
1868132	APQ12	97048	YIL040W	SGD
1868133	APS1	97048	YAP19	SGD
1868133	APS1	97048	YLR170C	SGD
1868134	APS2	97048	YAP17	SGD
1868134	APS2	97048	YJR058C	SGD
1868135	APS3	97048	YJL024C	SGD
1868135	APS3	97048	YKS7	SGD
1868136	APT1	97048	YML022W	SGD
