ID	ID in SGD	alias Column	Description of Genes	Date	Sample Boolean Attr2	gal1RGexp	gal1RGsig	Sample String List
YOR167C	S000005693	"RPS28A, RPS33A, YOR167C"	ribosomal protein S28A (S33A) (YS27)	20010118	TRUE	-0.374	2.73E-06	"This, is, a, test, for, List, attribute."
YOL149W	S000005509	"DCP1, YOL149W"		20010124	FALSE	0.228	9.08E-05	"This, is, a, test, for, List, attribute."
YNR050C	S000005333	"LYS13, LYS9, YNR050C"		20020930	FALSE	0.223	1.18E-05	"This, is, a, test, for, List, attribute."
YNL050C	S000004995	YNL050C		20030422	FALSE	0.301	1.43E-05	"This, is, a, test, for, List, attribute."
YMR138W	S000004746	"CIN4, GTP1, UGX1, YMR138W"	GTP-binding protein	20010118	TRUE	0.414	0.037256	"This, is, a, test, for, List, attribute."
YLR264W	S000004254	"RPS28B, RPS33B, YLR264W"	ribosomal protein S28B (S33B) (YS27)	20010118	TRUE	-0.259	1.61E-04	"This, is, a, test, for, List, attribute."
YLR109W	S000004099	"AHP1, YLR109W, cTPxIII"	alkyl hydroperoxide reductase	20020411	TRUE	-0.603	1.48E-09	"This, is, a, test, for, List, attribute."
YJR022W	S000003783	"LSM8, YJR022W"	snRNP protein	20020620	TRUE	0.059	0.6011	"This, is, a, test, for, List, attribute."
YHR141C	S000001183	"MAK18, RPL42B, YHR141C"	ribosomal protein L42B (YL27) (L41B) (YP44)	20010118	TRUE	-0.359	7.74E-07	"This, is, a, test, for, List, attribute."
YER112W	S000000914	"LSM4, SDB23, USS1, YER112W"	U6 snRNA associated protein	20050222	TRUE	0.193	7.05E-05	"This, is, a, test, for, List, attribute."
YDR277C	S000002685	"BPC1, DGT1, HTR1, MTH1, YDR277C"	Msn3p homolog (61% identical)	20020408	TRUE	0.243	2.19E-05	"This, is, a, test, for, List, attribute."
YDL194W	S000002353	"SNF3, YDL194W"	glucose sensor	20021003	TRUE	0.139	0.018043	"This, is, a, test, for, List, attribute."
YBL026W	S000000122	"LSM2, SMX5, SNP3, YBL026W"	"snRNA-associated protein, Sm class"	20050222	TRUE	-0.032	0.48423	"This, is, a, test, for, List, attribute."
