	Degree	gal1RGexp	gal1RGsig	gal4RGexp	gal4RGsig	gal80Rexp	gal80Rsig
?	3.0	0.0	0.0	0.0	0.0	0.0	0.0	
YAL003W	2.0	-0.157	0.0018696	-0.2	6.2814E-4	-0.146	0.013062	
YAL030W	2.0	-0.05	0.18782	0.027	0.55374	0.0030	0.95396	
YAL038W	3.0	-0.652	1.3173E-10	0.123	0.10377	-0.453	1.5489E-7	
YAL040C	2.0	-0.027	0.66515	-0.206	0.0017369	0.303	0.0010074	
YAR007C	2.0	0.2	0.0081844	-0.0070	0.91522	-0.302	0.0060792	
YBL005W	2.0	-0.0	0.64313	0.0	0.999999	0.0	0.999999	
YBL021C	2.0	0.073	0.18207	-0.256	0.015004	-0.108	0.497	
YBL026W	2.0	-0.032	0.48423	-0.158	0.019199	-0.064	0.59933	
YBL050W	2.0	-0.066	0.11213	-0.044	0.48722	0.106	0.23706	
YBL069W	1.0	-0.272	1.9402E-6	-0.487	7.0045E-6	-0.026	0.87354	
YBL079W	1.0	-0.186	2.5668E-4	-0.032	0.45723	-0.42	2.9469E-9	
YBR018C	2.0	0.153	7.8855E-4	-1.995	3.6284E-11	3.126	3.9427E-17	
YBR019C	3.0	0.061	0.098603	-1.993	3.3164E-11	2.856	3.9398E-18	
YBR020W	4.0	-2.426	7.0101E-9	-2.406	2.5038E-9	2.939	2.8147E-18	
YBR043C	1.0	0.454	5.373E-8	0.023	0.94178	0.0	0.999999	
YBR045C	3.0	0.786	5.5911E-6	1.022	1.2945E-5	0.94	0.016389	
YBR050C	1.0	0.432	6.914E-8	0.679	2.9767E-8	0.122	0.28411	
YBR072W	1.0	-1.232	1.3135E-6	0.895	2.3868E-5	-0.447	3.3493E-11	
YBR093C	2.0	-0.704	2.3291E-7	0.075	0.088763	-0.543	3.6198E-13	
YBR109C	3.0	-0.089	0.024989	0.074	0.13694	-0.163	0.0092082	
YBR112C	1.0	0.108	0.009167	-0.0040	0.92034	0.077	0.17771	
YBR118W	2.0	-0.074	0.053125	-0.063	0.15497	0.044	0.54556	
YBR135W	2.0	0.108	0.0084321	-0.018	0.6558	0.057	0.34065	
YBR155W	2.0	0.082	0.10014	-0.479	1.5959E-5	0.519	3.7064E-4	
YBR160W	3.0	-0.016	0.7432	-0.087	0.32105	-0.405	0.026081	
YBR170C	1.0	0.128	0.0078298	-0.134	0.13454	0.429	0.0016184	
YBR190W	1.0	-0.209	4.514E-5	-0.3	3.8823E-4	0.07	0.66515	
YBR217W	2.0	0.088	0.143	-0.332	0.011008	0.378	0.012775	
YBR248C	1.0	-0.258	2.3151E-6	-1.252	1.6549E-7	0.898	3.3047E-5	
YBR274W	2.0	-0.045	0.35655	0.135	0.0049782	-0.052	0.55148	
YCL030C	3.0	-1.067	3.8988E-11	-0.898	2.3894E-7	0.29	0.0016438	
YCL032W	4.0	0.126	0.003766	0.02	0.71364	0.284	0.015244	
YCL040W	1.0	-0.146	0.0093643	0.542	1.0508E-6	-0.221	2.0566E-4	
YCL067C	6.0	0.169	0.0012873	-0.085	0.11481	0.301	0.0027555	
YCR012W	3.0	-0.668	7.3129E-10	0.329	2.4163E-5	-0.746	4.2315E-13	
YCR084C	2.0	0.044	0.28551	0.704	1.832E-4	-0.091	0.69411	
YCR086W	2.0	-0.081	0.32121	-0.397	0.080473	0.381	0.17239	
YDL013W	3.0	0.214	4.0439E-5	0.073	0.22129	0.593	2.0836E-5	
