chi2cdf table of deg 1
x	chi2cdf(x)	1-chi2cdf(x)
58.53	1.000000e-00	1.998401e-14
58.52	1.000000e-00	2.009504e-14
58.51	1.000000e-00	2.020606e-14
58.50	1.000000e-00	2.031708e-14
58.49	1.000000e-00	2.042810e-14
58.48	1.000000e-00	2.053913e-14
58.47	1.000000e-00	2.065015e-14
58.46	1.000000e-00	2.076117e-14
58.45	1.000000e-00	2.087219e-14
58.44	1.000000e-00	2.098322e-14
58.43	1.000000e-00	2.109424e-14
58.42	1.000000e-00	2.120526e-14
58.41	1.000000e-00	2.131628e-14
58.40	1.000000e-00	2.142730e-14
58.39	1.000000e-00	2.153833e-14
58.38	1.000000e-00	2.164935e-14
58.37	1.000000e-00	2.176037e-14
58.36	1.000000e-00	2.187139e-14
58.35	1.000000e-00	2.198242e-14
58.34	1.000000e-00	2.209344e-14
58.33	1.000000e-00	2.220446e-14
58.32	1.000000e-00	2.231548e-14
58.31	1.000000e-00	2.242651e-14
58.30	1.000000e-00	2.253753e-14
58.29	1.000000e-00	2.264855e-14
58.28	1.000000e-00	2.275957e-14
58.27	1.000000e-00	2.287059e-14
58.26	1.000000e-00	2.298162e-14
58.25	1.000000e-00	2.309264e-14
58.24	1.000000e-00	2.320366e-14
58.23	1.000000e-00	2.331468e-14
58.22	1.000000e-00	2.342571e-14
58.21	1.000000e-00	2.353673e-14
58.20	1.000000e-00	2.364775e-14
58.19	1.000000e-00	2.375877e-14
58.18	1.000000e-00	2.386980e-14
58.17	1.000000e-00	2.409184e-14
58.16	1.000000e-00	2.420286e-14
58.15	1.000000e-00	2.431388e-14
58.14	1.000000e-00	2.442491e-14
58.13	1.000000e-00	2.453593e-14
58.12	1.000000e-00	2.464695e-14
58.11	1.000000e-00	2.475797e-14
58.10	1.000000e-00	2.486900e-14
58.09	1.000000e-00	2.509104e-14
58.08	1.000000e-00	2.520206e-14
58.07	1.000000e-00	2.531308e-14
58.06	1.000000e-00	2.542411e-14
58.05	1.000000e-00	2.553513e-14
58.04	1.000000e-00	2.564615e-14
58.03	1.000000e-00	2.586820e-14
58.02	1.000000e-00	2.597922e-14
58.01	1.000000e-00	2.609024e-14
58.00	1.000000e-00	2.620126e-14
57.99	1.000000e-00	2.631229e-14
57.98	1.000000e-00	2.653433e-14
57.97	1.000000e-00	2.664535e-14
57.96	1.000000e-00	2.675637e-14
57.95	1.000000e-00	2.686740e-14
57.94	1.000000e-00	2.697842e-14
57.93	1.000000e-00	2.720046e-14
57.92	1.000000e-00	2.731149e-14
57.91	1.000000e-00	2.742251e-14
57.90	1.000000e-00	2.753353e-14
57.89	1.000000e-00	2.775558e-14
57.88	1.000000e-00	2.786660e-14
