Release    Date     Base Pairs   Entries

    3    Dec 82         680338       606
   14    Nov 83        2274029      2427
   20    May 84        3002088      3665
   24    Sep 84        3323270      4135
   25    Oct 84        3368765      4175
   26    Nov 84        3689752      4393
   32    May 85        4211931      4954
   36    Sep 85        5204420      5700
   40    Feb 86        5925429      6642
   42    May 86        6765476      7416
   44    Aug 86        8442357      8823
   46    Nov 86        9615371      9978
   48    Feb 87       10961380     10913
   50    May 87       13048473     12534
   52    Aug 87       14855145     14020
   53    Sep 87       15514776     14584
   54    Dec 87       16752872     15465
   55    Mar 88       19156002     17047
   56    Jun 88       20795279     18226
   57    Sep 88       22019698     19044
   57.1  Oct 88       23800000     20579
   58    Dec 88       24690876     21248
   59    Mar 89       26382491     22479
   60    Jun 89       31808784     26317
   61    Sep 89       34762585     28791
   62    Dec 89       37183950     31229
   63    Mar 90       40127752     33377
   64    Jun 90       42495893     35100
   65    Sep 90       49179285     39533
   66    Dec 90       51306092     41057
   67    Mar 91       55169276     43903
   68    Jun 91       65868799     51418
   69    Sep 91       71947426     55627
   70    Dec 91       77337678     58952
   71    Mar 92       83894652     65100
   72    Jun 92       92160761     71280
   73    Sep 92      101008486     78608
   74    Dec 92      120242234     97084
   75    Feb 93      126212259    106684
   76    Apr 93      129968355    111911
   77    Jun 93      138904393    120134
   78    Aug 93      147215633    131328
   79    Oct 93      157152442    143492
   80    Dec 93      163802597    150744
   81    Feb 94      173261500    162946
   82    Apr 94      180589455    169896
   83    Jun 94      191393939    182753
   84    Aug 94      201815802    196703
   85    Oct 94      217102462    215273
   86    Dec 94      230485928    237775
   87    Feb 95      248499214    269478
   88    Apr 95      286094556    352414
   89    Jun 95      318624568    425211
   90    Aug 95      353713490    492483
   91    Oct 95      384939485    555694
   92    Dec 95      425860958    620765
   93    Feb 96      463758833    685693
   94    Apr 96      499127741    744295
   95    Jun 96      551750920    835487
   96    Aug 96      602072354    920588
   97    Oct 96      651972984    1021211
