Gene 1	Gene 2	Reprod BP	Reprod PB	Reprod PP	Literature	PullDown	PullDown Exact	Common baits	Common bait count BP	Common bait count PB	Gene 2 wanted	Prey redund level	Interolog	Mock	Prey PullDown Count	Bait geneid match	Prey geneid match	Bait and Prey geneid match	orf=0	Basic filter	Bait motifs	Prey motifs	Prey motif max	BP MMIs	PB MMIs	PP MMIs
2963	378706	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	84623	1	0	15			0	2963_all,4087_all,5881_all,3164_all	1	0	Other,Other,Other	0.0		1	0	1	1	1	0	0			0			
2963	64478	3	0	3			0	2963_all,4087_all,5881_all	1	0		1.0		0	0	1	3	3	0	0			0			
2963	55342	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	10451	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	1			0			
2963	28996	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	9779	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	9672	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	10516	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	9863	1	0	2			0	2963_all,4087_all,5881_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	26574	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	51265	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	11260	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	6066	2	0	0			0	2963_all	1	0		2.0		0	0	1	2	2	0	0			0			
2963	51260	2	0	1			0	2963_all,4087_all	1	0		0.5		0	0	1	2	2	1	0			0			
2963	9472	1	0	4			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	55761	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	811	1	0	11			0	2963_all,4087_all,5881_all,3164_all	1	0	TF	1.0		0	0	1	1	1	1	0			0			
2963	64641	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	642311	2	0	4			0	2963_all,4087_all,5881_all	1	0		1.0		0	0	1	2	2	0	0			0			
2963	165918	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	1	1			0			
2963	2917	2	0	1			0	2963_all,5881_all	1	0		0.5		0	0	1	2	2	0	0			0			
2963	1793	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	3337	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	55610	1	0	1			0	2963_all,5881_all	1	0	TF	1.0		0	0	1	1	1	1	0			0			
2963	1496	2	0	4			0	2963_all,4087_all,5881_all,3164_all	1	0		1.0		0	0	1	2	2	0	0			0			
2963	6157	2	0	0		OK	1	2963_all	1	0		2.0		0	1	1	2	2	2	2			0			
2963	6096	1	0	0			0	2963_all	1	0	TF	0.0		0	0	1	1	1	0	0			0			
2963	79039	1	0	1			0	2963_all,4087_all	1	0	TF	1.0		0	0	1	1	1	1	0			0			
2963	51163	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	51164	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	10962	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	1393	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	5305	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	5306	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	1			0			
2963	55582	1	0	7			0	2963_all,4087_all,5881_all,3164_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	283120	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	378938	7	0	27			0	2963_all,4087_all,5881_all,3164_all	1	0		1.1428571428571428		6	0	1	7	7	0	0			0			
2963	23365	1	0	4			0	2963_all,4087_all,5881_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	961	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	6598	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	1124	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	54037	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	55832	1	0	0			0	2963_all	1	0	TF	0.0		0	0	1	1	1	1	0			0			
2963	3146	1	0	2			0	2963_all,4087_all,5881_all	1	0	TF	1.0		0	0	1	1	1	1	0			0			
2963	649203	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	2823	1	0	4			0	2963_all,4087_all,5881_all,3164_all	1	0		1.0		1	0	1	1	1	0	0			0			
2963	254225	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	5413	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	80206	1	0	0			0	2963_all	1	0		1.0		1	0	1	1	1	0	0			0			
2963	79683	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	57619	1	0	1			0	2963_all,5881_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	521	1	0	2			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	1016	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	81626	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	8204	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	2768	1	0	2			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	57478	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	9150	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	64423	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	64422	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	1	1		Autophagy_N	1			
2963	2762	1	0	2			0	2963_all,4087_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	2678009	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	23091	1	0	2			0	2963_all,4087_all,3164_all	1	0	TF	0.0		0	0	1	1	1	1	0			0			
2963	103	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	8697	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	1			0			
2963	375484	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
