GeneSymbol	Diseases
SCN3A	Autistic disorder
RPLP2	Pancreas disease
GFER	Cirrhosis:Embryoma
VPRBP	Cancer
IGHM	Leukemia:Multiple myeloma
SLEB3	Lupus erythematosus
ATP8	Multiple sclerosis
LRRC7	Diabetes mellitus:Testicular dysfunction
ATP6	Deafness:Leigh disease:Multiple sclerosis:Prostate cancer
LRRC4	Brain tumor:Nervous system tumor
SCN2B	Systemic scleroderma
PCBD1	Diabetes mellitus
TMIE	Deafness
SCN2A	Autistic disorder:Dental plaque:Intractable epilepsy:Myopathy:Neuropathy:Rheumatism
BCYRN1	Alzheimer's disease:Breast cancer
IGHD	Influenza:Leukemia
IGHE	Asthma
HSD11B1	Adenoma:Adrenal gland tumor:Colon cancer:Congenital abnormality:Cushing syndrome:Diabetes mellitus:Hypertension:Obesity:Osteoporosis
ADSL	Autistic disorder:Metabolism disease
HSD11B2	Adrenal gland tumor:Breast cancer:Colon cancer:Congenital abnormality:Cushing syndrome:Diabetes mellitus:Fetal disease:Growth retardation:Hypertension:Infectious lung disease:Obesity:Ovarian cancer:Pituitary tumor:Renal Cell cancer:Respiratory distress syndrome:Rheumatoid arthritis
IGH@	Leukemia:Lymphoma
EIF2AK3	Cancer:Diabetes mellitus:Herpes
SCN1A	"Myoclonic epilepsy, Juvenile":Autistic disorder:Brain disease:Central nervous system disease:Drug abuse:Infantile spasms:Intractable epilepsy:Migraine:Myopathy:Nervous system disease:Neuropathy:Rheumatism
SCN1B	Epilepsy:Rabies
IGFBPL1	Breast cancer:Embryoma
DUSP12	Diabetes mellitus
MYBL2	Cancer:Neuroblastoma
KAL1	Congenital abnormality:Urogenital abnormalities
HBB@	Hemoglobinopathies:Hemolytic anemia
CELIAC2	Celiac disease
IGKC	Aortic aneurysm:Sarcoidosis
LFNG	Bone disease
DHX9	Leukoencephalopathy:Neuroblastoma
ESRRA	Breast cancer:Dermatitis:Endometrial cancer:Ovarian cancer:Prostate cancer
CYP46A1	Alzheimer's disease
ESRRB	Prostate cancer
KIR2DS5	Leukemia
NXF5	Mental retardation
L3MBTL	Cancer:Leukemia
ACACA	Breast cancer:Lung cancer
KIR2DS2	Autoimmune disease:Diabetes mellitus:Lupus erythematosus:Scleroderma:Systemic scleroderma
GGH	Colon cancer:Neuroendocrine tumor
ESRRG	Dermatitis:Endometrial cancer
KIR2DS1	Lupus erythematosus:Psoriasis:Scleroderma:Systemic scleroderma
DUSP22	Breast cancer
IDDM7	Diabetes mellitus
KIR2DS4	Melanoma:Rheumatoid arthritis
ACACB	Lung cancer
IDDM8	Rheumatoid arthritis
GH2	Breast cancer:Pre-Eclampsia
GH1	Acromegaly:Alzheimer's disease:Breast cancer:Cholestasis:Cushing syndrome:Diabetes mellitus:Eating disorder:Embryoma:Endometrial cancer:Endometriosis:HIV infection:Hypertension:Lipodystrophy:Liver cancer:Liver tumor:Mental retardation:Obesity:Osteoporosis:Ovarian disease:Pituitary tumor:Polycystic ovary syndrome:Spinal cord disease
DUSP26	Thyroid cancer
LASP1	Cancer
IDDM2	Diabetes mellitus
PARP1	"Kidney tubular necrosis, acute":Amyotrophic lateral sclerosis:Breast cancer:Celiac disease:Chronic obstructive airway disease:Common cold:Diabetes mellitus:Ewings sarcoma:Fanconi's anemia:Heart failure:Ischemia:Kaposi sarcoma:Leukemia:Liver cancer:Melanoma:Parkinson disease:Pituitary tumor:Renal tubular acidosis:Rheumatoid arthritis:Uterine fibroids:Werner syndrome
CDC42BPB	Muscular dystrophies
GFAP	Autistic disorder:Behavior disease:Bipolar disorder:Depression:Down syndrome:Nervous system tumor:Subarachnoid hemorrhage
ZNFX1	Prostate cancer
NUAK1	Cancer
EVI1	Fanconi's anemia:Leukemia
KISS1	Cancer
IL1RAP	Diabetes mellitus
BHLHE41	Lung cancer
GHR	Acromegaly:Adenoma:Breast cancer:Congenital abnormality:Diabetes mellitus:Embryoma:Hypertension:Lung cancer:Pituitary tumor:Prostate cancer:Stroke
PARVG	Brain tumor
GIP	Cushing syndrome:Diabetes mellitus:Hyperglycemia:Hyperinsulinism:Metabolism disease
AIFM1	Colon cancer:Ischemia:Lung cancer:Prostate cancer
ELANE	Asthma:Atherosclerosis:Connective tissue disease:Dental plaque:Disseminated intravascular coagulation:Glomerulonephritis:Infectious lung disease:Leukemia:Leukoencephalopathy:Lupus erythematosus:Neutropenia:Shigella infection:Systemic infection
SLC3A2	Cancer:Neoplasm metastasis
CFTR	"Infertility, Male":Alimentary system disease:Alzheimer's disease:Azoospermia:Conduct disorder:Cystic fibrosis:Enteritis:Gram-Negative bacterial infection:Heart failure:Hypertension:Infertility:Oligospermia:Polycystic kidney:Respiratory tract disease:Sinusitis:Testicular dysfunction
CCT6A	Squamous cell cancer
SLC3A1	Kidney disease
ARHGEF11	Diabetes mellitus:Lung cancer:Schizophrenia
EIF4A3	Pancreas cancer:Stomach cancer
FANCD2	Breast cancer:Congenital abnormality:Fanconi's anemia:Leukemia
EIF4A2	Cancer:Diabetes mellitus
PLXDC1	Diabetes mellitus:Neoplasm metastasis
AMY1A	Lung disease
PARVB	Breast cancer:Cancer
MDS1	Granulomatous disease
SCML2	Brain tumor
POT1	Cancer
AMPH	Cancer:Embryoma
MTMR2	Charcot-Marie-Tooth disease:Neuropathy
PKD2	Congenital abnormality:Kidney disease
PKD1	Bone disease:Neoplasm metastasis:Polycystic kidney:Stomach cancer:Tuberous sclerosis
PKD3	Prostate cancer
MTMR9	Obesity
AIMP1	Cancer:Solid tumor
IGF1	Acromegaly:Advanced cancer:Alopecia:Alzheimer's disease:Antiphospholipid syndrome:Bone disease:Breast cancer:Cardiovascular disease:Cerebral palsy:Cervical cancer:Cirrhosis:Colon cancer:Embryoma:Endocrine system disease:Endometriosis:Esophagus cancer:Esotropia:Fibroid tumor:Fibromyalgia:Folic acid deficiency:Gastrointestinal stromal tumor:Growth retardation:Heart failure:Hepatitis C:Hyperglycemia:Hyperthyroidism:Hypothyroidism:Late pregnancy:Leukemia:Liver cancer:Liver disease:Lung cancer:Obesity:Osteoporosis:Osteosarcoma:Polycystic kidney:Polycythemia:Primary tumor:Prostate cancer:Protein-energy malnutrition:Pulmonary fibrosis:Renal Cell cancer:Schizophrenia:Sickle cell disease:Solid tumor:Spinal cord disease:Testicular dysfunction:Thalassemia
IGF2	Cancer:Choriocarcinoma:Drug abuse:Growth retardation:Liver disease:Obesity:Oral cancer:Parkinson disease:Pre-Eclampsia:Pulmonary fibrosis:Rheumatoid arthritis:Schizophrenia:Ulcerative colitis:Yersinia infection
IGES	Asthma
SDHA	Cancer
FSD1	Hamman-Rich syndrome:Mixed salivary gland tumor
ATRX	Hemolytic anemia:Mental retardation
SDHB	Cancer
GLA	Vascular disease
SDHC	Cancer:Gastrointestinal tumor
SDHD	Actinic keratosis:Cancer
CSAG2	Esophageal tumor:Yersinia infection
GNA13	Neoplasm metastasis:Prostate cancer
MTSS1	Bladder cancer:Liver cancer:Neoplasm metastasis
MPZL1	Schizophrenia
ATOX1	Encephalopathies:Movement disorder:Myopathy
GNA11	Breast cancer
GNA12	Azoospermia:Breast cancer:Congenital abnormality:Hyperaldosteronism:Leukemia:Neoplasm metastasis:Prostate cancer
ENAM	Dental enamel hypoplasia
KIAA1324	Endometrial cancer:Endometrium cancer
NR2E3	Retinal disease
SLC22A18AS	Communicable disease
CTNNBL1	Obesity
EIF4EBP1	Alzheimer's disease:Breast cancer:Prostate cancer
