Locus,GeneName
YHR051W,COX6
YHR124W,NDT80
YKL181W,PRS1
YGR072W,UPF3
YHL020C,OPI1
YGR145W,YGR145W
YGL041C,YGL041C
YGR218W,CRM1
YOR202W,HIS3
YCR005C,CIT2
YER187W,KHS1
YBR026C,YBR026C
YMR244W,YMR244W
YMR317W,YMR317W
YAR047C,YAR047C
YIR031C,DAL7
YDL177C,YDL177C
YLR338W,YLR338W
YGR073C,YGR073C
YGR146C,YGR146C
YOR130C,ORT1
YLR193C,YLR193C
YMR318C,YMR318C
YLR266C,YLR266C
YGL114W,YGL114W
YLR339C,YLR339C
YFL062W,COS4
YJR010W,MET3
YHR052W,YHR052W
YKL182W,FAS1
YHR125W,YHR125W
YHL021C,YHL021C
YGR219W,YGR219W
YGL042C,YGL042C
YOR203W,YOR203W
YCR006C,YCR006C
YER188W,YER188W
YMR172W,HOT1
YNL120C,YNL120C
YBR027C,YBR027C
YMR245W,YMR245W
YJR011C,YJR011C
YIR032C,DAL3
YHR053C,CUP1A
YHR126C,YHR126C
YPR110C,RPC40
YGR147C,NAT2
YOR131C,YOR131C
YAL016W,TPD3
YLR194C,YLR194C
YMR319C,FET4
YGL115W,SNF4
YFL063W,YFL063W
YDL178W,AIP2
YKL183W,YKL183W
YGR074W,SMD1
YHL022C,SPO11
YDR493W,YDR493W
YOR204W,DED1
YCR007C,YCR007C
YFL064C,YFL064C
YER189W,YER189W
YNL121C,TOM70
YBR028C,YBR028C
YMR173W,DDR48
YMR246W,FAA4
YJR012C,YJR012C
YLR267W,BOP2
YHR054C,YHR054C
YGR075C,PRP38
YGR148C,RPL24B
YOR205C,YOR205C
YAL017W,YAL017W
YIL001W,YIL001W
YMR174C,PAI3
YLR195C,NMT1
YGL043W,DST1
YGL116W,CDC20
YOL100W,PKH2
YLR287C-A,RPS30A
YDL179W,PCL9
YIR033W,MGA2
YAL018C,YAL018C
YIL002C,INP51
YHR127W,HSN1
YKL184W,SPE1
YHL023C,YHL023C
YPR111W,DBF20
YDR494W,YDR494W
YGL044C,RNA15
YOR132W,VPS17
YFL065C,YFL065C
YOL101C,YOL101C
YBR029C,CDS1
YNL122C,YNL122C
YIR034C,LYS1
YLR268W,SEC22
YHR055C,CUP1B
YPR112C,YPR112C
YGR076C,MRPL25
YOR060C,YOR060C
YDR495C,VPS3
YLR269C,YLR269C
YGL117W,YGL117W
YCR008W,SAT4
YJR013W,YJR013W
YML070W,DAK1
YHR128W,FUR1
YKL185W,ASH1
YBR240C,THI2
YGR149W,YGR149W
YOR133W,EFT1
YOR206W,YOR206W
YGL118C,YGL118C
YFL066C,YFL066C
YOL102C,TPT1
YCR009C,RVS161
YNL050C,YNL050C
YMR175W,SIP18
YLR196W,PWP1
YIR035C,YIR035C
YHR056C,YHR056C
YKL186C,MTR2
YHR129C,ARP1
YGR077C,PEX8
YDR496C,YDR496C
YOR207C,RET1
YAL019W,YAL019W
YIL003W,YIL003W
YHL024W,NOS1
YGL045W,YGL045W
YNL123W,YNL123W
YJR014W,YJR014W
YIL004C,BET1
YPR040W,YPR040W
YBR241C,YBR241C
YPR113W,PIS1
YOR061W,CKA2
YOR134W,BAG7
YML072C,YML072C
YLR197W,SIK1
YIR036C,YIR036C
YHR057C,CYP2
YKL187C,YKL187C
YGR078C,PAC10
YOR062C,YOR062C
YOR135C,YOR135C
YDR497C,ITR1
YHL025W,SNF6
YLR198C,YLR198C
YGL046W,YGL046W
YGL119W,ABC1
YOL030W,YOL030W
YFL067W,YFL067W
YOL103W,ITR2
YNL124W,YNL124W
YJR015W,YJR015W
YDR200C,YDR200C
YPR041W,TIF5
YHL026C,YHL026C
YPR114W,YPR114W
YOR208W,PTP2
YOL031C,YOL031C
YOL104C,NDJ1
YNL125C,ESBP6
YMR177W,MMT1
YJR016C,ILV3
YML073C,RPL6A
YHR058C,MED6
YKL188C,PXA2
YDR498C,SEC20
YOR209C,NPT1
YIL005W,YIL005W
YBR242W,YBR242W
YLR199C,YLR199C
YPL010W,RET3
YGL047W,YGL047W
YFL068W,YFL068W
YNL052W,COX5A
YIR037W,HYR1
YBR170C,NPL4
YGR079W,YGR079W
YPR115W,YPR115W
YBR243C,ALG7
YPL011C,TAF47
YOR063W,RPL3
YGL048C,RPT6
YOR136W,IDH2
YOL105C,WSC3
YMR178W,YMR178W
YML074C,NPI46
YJR017C,ESS1
YIR038C,GTT1
YOR064C,YOR064C
YOR137C,YOR137C
YDR201W,SPC19
YIL006W,YIL006W
YHL027W,RIM101
YOL032W,YOL032W
YNL053W,MSG5
YNL126W,SPC98
YGR290W,YGR290W
YDR202C,YDR202C
YIL007C,YIL007C
YHR059W,YHR059W
YMR251W-A,HOR7
YKL189W,HYM1
YPR043W,RPL43A
YPR116W,YPR116W
YDR499W,YDR499W
YGL049C,TIF4632
YMR179W,SPT21
YML075C,HMG1
YGR291C,YGR291C
YIR039C,YPS6
YOR138C,YOR138C
YBR171W,SEC66
YBR244W,YBR244W
YHL028W,WSC4
YPL012W,YPL012W
YOL033W,MSE1
YOL106W,YOL106W
YNL054W,VAC7
YNL127W,YNL127W
YJR018W,YJR018W
YDR130C,YDR130C
YBR172C,SMY2
YBR245C,ISW1
YHL029C,YHL029C
YPR117W,YPR117W
YPL013C,YPL013C
YOR065W,CYT1
YNL055C,POR1
YJR019C,TES1
YML076C,YML076C
YPR045C,YPR045C
YOR139C,YOR139C
YGL260W,YGL260W
YIL008W,YIL008W
YOL034W,YOL034W
YOL107W,YOL107W
YER110C,KAP123
YNL128W,TEP1
YGR292W,MAL12
YDR131C,YDR131C
YGL261C,YGL261C
YBR173C,UMP1
YPR118W,YPR118W
YOR066W,YOR066W
YOL035C,YOL035C
YOL108C,INO4
YGR293C,YGR293C
YOR350C,MNE1
YOR067C,ALG8
YDR204W,COQ4
YDL100C,YDL100C
YIL009W,FAA3
YBR246W,YBR246W
YPL014W,YPL014W
YNL056W,YNL056W
YER111C,SWI4
YNL129W,YNL129W
YML077W,BET5
YDR132C,YDR132C
YJR010C-A,SPC1
YPR046W,MCM16
YBR174C,YBR174C
YBR247C,ENP1
YPR119W,CLB2
YPL015C,HST2
YER093C-A,YER093C-A
YOR351C,MEK1
YOR068C,YOR068C
YDR205W,YDR205W
YGL262W,YGL262W
YDL101C,DUN1
