# This file maps a list of concept lexicon names to the files that
# defined each such named lexicon.  The format is a TAB-delimited list
# of two columns where each row represents one lexicon mapping. The
# first column is the name of the concept lexicon and represents the
# name displayed within the dropdown menu for "Concept Lexicon:". The
# second column is the file path, relative to the LitSearch home, that
# defines this lexicon.
#
# Comments start with a '#' in the first non-whitspace character.
#
Arabidopsis thaliana	data/.uc_Arabidopsis_thaliana	
Bos tutu	data/.uc_Bos_taurus
Caenorhabditis elegans	data/.uc_Caenorhabditis_elegans
Danio rerio	data/.uc_Danio_rerio
Drosophila melanogaster	data/.uc_Drosophila_melanogaster
Escherichia coli	data/.uc_Escherichia_coli
Homo sapiens	data/.uc_Homo_sapiens
Mus musculus	data/.uc_Mus_musculus
Rattus norvegicus	data/.uc_Rattus_norvegicus
Saccharomyces cerevisiae	data/.uc_Saccharomyces_cerevisiae
Oryza sativa	data/.uc_Oryza_sativa
#
# Chlamydomonas reinhardtii	data/.uc_Chlamydomonas_reinhardtii
# Dictyostelium discoideum	data/.uc_Dictyostelium_discoideum
# Hepatitis C virus		data/.uc_Hepatitis_C virus
# Magnaporthe grisea		data/.uc_Magnaporthe_grisea
# Mycoplasma pneumoniae		data/.uc_Mycoplasma_pneumoniae
# Neurospora crassa		data/.uc_Neurospora_crassa
# Oryza sativa			data/.uc_Oryza_sativa
# Plasmodium falciparum		data/.uc_Plasmodium_falciparum
# Pneumocystis carinii		data/.uc_Pneumocystis_carinii
# Schizosaccharomyces pombe	data/.uc_Schizosaccharomyces_pombe
# Takifugu rubripes  data/.uc_Takifugu_rubripes
# Xenopus laevis     data/.uc_Xenopus_laevis
# Zea mays	     data/.uc_Zea_mays
