*	systematic
yih1_yeast	YIL071C
cp51_yeast	YHR007C
q08817_yeast	YOR353C
gys2_yeast	YLR258W
bas1_yeast	YKR099W
rl43_yeast	YJR094W-A	YPR043W
yhs1_yeast	YHR121W
serc_yeast	YOR184W
rl36b_yeast	YPL249C-A
agp1_yeast	YCL025C
rl16a_yeast	YIL133C
sahh_yeast	YER043C
rfc3_yeast	YNL290W
6pgd2_yeast	YGR256W
metk_yeast	YLR180W
mpt5_yeast	YGL178W
idhc_yeast	YLR174W
sec23_yeast	YPR181C
sth1_yeast	YIL126W
hosc_yeast	YDL182W
shu1_yeast	YHL006C
not1_yeast	YCR093W
prs6a_yeast	YOR117W
yhj3_yeast	YHR033W
ubc3_yeast	YDR054C
cbf5_yeast	YLR175W
syv_yeast	YGR094W
thdh_yeast	YER086W
spc3_yeast	YLR066W
rs9b_yeast	YBR189W
ye12_yeast	YER182W
idh2_yeast	YOR136W
adh5_yeast	YBR145W
yhh1_yeast	YHR011W
ymh6_yeast	YML076C
rs29b_yeast	YDL061C
rcc1_yeast	YGL097W
oye2_yeast	YHR179W
ubp3_yeast	YER151C
ccr4_yeast	YAL021C
yfh3_yeast	YFR003C
ync2_yeast	YNL022C
aus1_yeast	YOR011W
q06525_yeast	YPR152C
thrc_yeast	YCR053W
pmm_yeast	YFL045C
rif2_yeast	YLR453C
pma1_yeast	YGL008C
hxkg_yeast	YCL040W
stm1_yeast	YLR150W
tfc5_yeast	YNL039W
yin7_yeast	YIL137C
q07551_yeast	YDL124W
slt2_yeast	YHR030C
rl21a_yeast	YBR191W
rix7_yeast	YLL034C
iqg1_yeast	YPL242C
pdc1_yeast	YLR044C
atg7_yeast	YHR171W
rs22a_yeast	!?
alf_yeast	YKL060C
rl25_yeast	YOL127W
yga4_yeast	YGL004C
hsp75_yeast	YDL229W
hsp71_yeast	YAL005C
hxkb_yeast	YGL253W
gys1_yeast	YFR015C
gsh1_yeast	YJL101C
q06697_yeast	YLR418C
ubx6_yeast	YJL048C
impx_yeast	YIL154C
yg51_yeast	YGR237C
nut1_yeast	!?
enp1_yeast	YBR247C
rs17a_yeast	YML024W
rs8_yeast	YBL072C	YER102W
ef1a_yeast	YBR118W	YPR080W
copb2_yeast	YGL137W
q05812_yeast	YLR219W
q12044_yeast	YOR220W
rib4_yeast	YOL143C
msn5_yeast	YDR335W
sec66_yeast	YBR171W
pmg1_yeast	YKL152C
cdc53_yeast	YDL132W
if4f2_yeast	YGL049C
rpa2_yeast	YPR010C
yoc2_yeast	YOL022C
6pgd1_yeast	YHR183W
rl9a_yeast	YGL147C
tra1_yeast	YHR099W
yp02_yeast	YPR002W
hfi1_yeast	YPL254W
tcpz_yeast	YDR188W
ubiq_yeast	YIL148W	YKR094C	YLL039C	YLR167W
hsc82_yeast	YMR186W
cata_yeast	YDR256C
prp6_yeast	YBR055C
acs2_yeast	YLR153C
lcf4_yeast	YMR246W
q12734_yeast	YPR030W
yhc1_yeast	YHL021C
taf5_yeast	YBR198C
ppa3_yeast	YBR092C
orn_yeast	YLR059C
yae2_yeast	YAL042W
hul5_yeast	YGL141W
yku6_yeast	YKL206C
q12465_yeast	YLR084C
q08913_yeast	YOR390W
pex11_yeast	YOL147C
dbf2_yeast	YGR092W
q3e7y1_yeast	!?
metl_yeast	YDR502C
rpc19_yeast	YNL113W
ef2_yeast	YDR385W	YOR133W
hsp12_yeast	YFL014W
o13587_yeast	YPR096C
pgm2_yeast	YMR105C
spt8_yeast	YLR055C
mlc1_yeast	YGL106W
leu2_yeast	YGL009C
ste50_yeast	YCL032W
h2b2_yeast	YBL002W
ef3b_yeast	YNL014W
set2_yeast	YJL168C
hsp42_yeast	YDR171W
ymr5_yeast	YMR025W
hsp7e_yeast	YEL030W
psa6_yeast	YGL011C
yg3a_yeast	YGR130C
mdn1_yeast	YLR106C
rnq1_yeast	YCL028W
spg5_yeast	!?
rl19_yeast	YBL027W	YBR084C-A
bbc1_yeast	YJL020C
ybf4_yeast	YBL054W
fkbp_yeast	YNL135C
ym76_yeast	YMR237W
sulx_yeast	YPR003C
rs19b_yeast	YNL302C
yn8b_yeast	YNR021W
