! Sample Annotation file for GO Slim DAG.
!
! Oct. 2006 by Keiichiro Ono
!
!
ID	Ontology Term Name	Name Space	Alias	Subset
GO:0045735 	 nutrient reservoir activity	 molecular_function	GO:0045735 	 gosubset_prok
GO:0044403 	" symbiosis, encompassing mutualism through parasitism"	 biological_process	GO:0044403 	 gosubset_prok
GO:0050789 	 regulation of biological process	 biological_process	GO:0050789 	 gosubset_prok
GO:0040029 	" regulation of gene expression, epigenetic"	 biological_process	GO:0040029 	 gosubset_prok
GO:0031386 	 protein tag	 molecular_function	GO:0031386 	 goslim_generic
GO:0030533 	 triplet codon-amino acid adaptor activity	 molecular_function	GO:0030533 	 goslim_generic
GO:0030313 	 cell envelope	 cellular_component	GO:0030313 	 gosubset_prok
GO:0030246 	 carbohydrate binding	 molecular_function	GO:0030246 	 gosubset_prok
GO:0030234 	 enzyme regulator activity	 molecular_function	GO:0030234 	 gosubset_prok
GO:0030188 	 chaperone regulator activity	 molecular_function	GO:0030188 	 gosubset_prok
GO:0030154 	 cell differentiation	 biological_process	GO:0030154 	 gosubset_prok
GO:0019825 	 oxygen binding	 molecular_function	GO:0019825 	 gosubset_prok
GO:0019748 	 secondary metabolism	 biological_process	GO:0019748 	 gosubset_prok
GO:0019725 	 cell homeostasis	 biological_process	GO:0019725 	 gosubset_prok
GO:0016740 	 transferase activity	 molecular_function	GO:0016740 	 gosubset_prok
GO:0016209 	 antioxidant activity	 molecular_function	GO:0016209 	 gosubset_prok
GO:0040007 	 growth	 biological_process	GO:0040007 	 gosubset_prok
GO:0016049 	 cell growth	 biological_process	GO:0016049 	 gosubset_prok
GO:0016032 	 viral life cycle	 biological_process	GO:0016032 	 goslim_generic
GO:0016023 	 cytoplasmic membrane-bound vesicle	 cellular_component	GO:0016023 	 gosubset_prok
GO:0015031 	 protein transport	 biological_process	GO:0015031 	 gosubset_prok
GO:0009790 	 embryonic development	 biological_process	GO:0009790 	 goslim_plant
GO:0009719 	 response to endogenous stimulus	 biological_process	GO:0009719 	 gosubset_prok
GO:0009653 	 morphogenesis	 biological_process	GO:0009653 	 gosubset_prok
GO:0009628 	 response to abiotic stimulus	 biological_process	GO:0009628 	 gosubset_prok
GO:0009607 	 response to biotic stimulus	 biological_process	GO:0009607 	 gosubset_prok
GO:0009605 	 response to external stimulus	 biological_process	GO:0009605 	 gosubset_prok
GO:0009579 	 thylakoid	 cellular_component	GO:0009579 	 gosubset_prok
GO:0009536 	 plastid	 cellular_component	GO:0009536 	 gosubset_prok
GO:0009056 	 catabolism	 biological_process	GO:0009056 	 gosubset_prok
GO:0009055 	 electron carrier activity	 molecular_function	GO:0009055 	 gosubset_prok
GO:0008372 	 cellular component unknown	 cellular_component	GO:0008372 	 gosubset_prok
GO:0008289 	 lipid binding	 molecular_function	GO:0008289 	 gosubset_prok
GO:0008283 	 cell proliferation	 biological_process	GO:0008283 	 gosubset_prok
GO:0008233 	 peptidase activity	 molecular_function	GO:0008233 	 gosubset_prok
GO:0016265 	 death	 biological_process	GO:0016265 	 gosubset_prok
GO:0008219 	 cell death	 biological_process	GO:0008219 	 gosubset_prok
GO:0045182 	 translation regulator activity	 molecular_function	GO:0045182 	 gosubset_prok
GO:0008135 	" translation factor activity, nucleic acid binding"	 molecular_function	GO:0008135 	 gosubset_prok
GO:0008037 	 cell recognition	 biological_process	GO:0008037 	 goslim_generic
GO:0007610 	 behavior	 biological_process	GO:0007610 	 gosubset_prok
GO:0007275 	 development	 biological_process	GO:0007275 	 gosubset_prok
GO:0007267 	 cell-cell signaling	 biological_process	GO:0007267 	 gosubset_prok
GO:0007165 	 signal transduction	 biological_process	GO:0007165 	 gosubset_prok
GO:0007154 	 cell communication	 biological_process	GO:0007154 	 gosubset_prok
GO:0007582 	 physiological process	 biological_process	GO:0007582 	 gosubset_prok
GO:0007049 	 cell cycle	 biological_process	GO:0007049 	 gosubset_prok
GO:0007028 	 cytoplasm organization and biogenesis	 biological_process	GO:0007028 	 gosubset_prok
GO:0007010 	 cytoskeleton organization and biogenesis	 biological_process	GO:0007010 	 gosubset_prok
GO:0007005 	 mitochondrion organization and biogenesis	 biological_process	GO:0007005 	 goslim_generic
GO:0016043 	 cell organization and biogenesis	 biological_process	GO:0016043 	 gosubset_prok
GO:0006996 	 organelle organization and biogenesis	 biological_process	GO:0006996 	 gosubset_prok
GO:0006950 	 response to stress	 biological_process	GO:0006950 	 gosubset_prok
GO:0006811 	 ion transport	 biological_process	GO:0006811 	 gosubset_prok
GO:0006810 	 transport	 biological_process	GO:0006810 	 gosubset_prok
GO:0006629 	 lipid metabolism	 biological_process	GO:0006629 	 gosubset_prok
GO:0006519 	 amino acid and derivative metabolism	 biological_process	GO:0006519 	 gosubset_prok
GO:0006464 	 protein modification	 biological_process	GO:0006464 	 gosubset_prok
GO:0019538 	 protein metabolism	 biological_process	GO:0019538 	 gosubset_prok
GO:0009058 	 biosynthesis	 biological_process	GO:0009058 	 gosubset_prok
GO:0006412 	 protein biosynthesis	 biological_process	GO:0006412 	 gosubset_prok
GO:0006350 	 transcription	 biological_process	GO:0006350 	 gosubset_prok
GO:0006259 	 DNA metabolism	 biological_process	GO:0006259 	 gosubset_prok
GO:0006139 	" nucleobase, nucleoside, nucleotide and nucleic acid metabolism"	 biological_process	GO:0006139 	 gosubset_prok
GO:0006118 	 electron transport	 biological_process	GO:0006118 	 gosubset_prok
