May\MTM_012007Split\Grad3-1 numSpectra	May\MTM_012007Split\Grad3-1 totalIntensity	May\MTM_012007Split\Grad3-2 numSpectra	May\MTM_012007Split\Grad3-2 totalIntensity	May\MTM_012007Split\Grad3-3 numSpectra	May\MTM_012007Split\Grad3-3 totalIntensity	May\MTM_012007Split\Grad3-4 numSpectra	May\MTM_012007Split\Grad3-4 totalIntensity	May\MTM_012007Split\Grad3-5 numSpectra	May\MTM_012007Split\Grad3-5 totalIntensity	May\MTM_012007Split\Grad3-6 numSpectra	May\MTM_012007Split\Grad3-6 totalIntensity	May\MTM_012007Split\Grad3-7 numSpectra	May\MTM_012007Split\Grad3-7 totalIntensity	May\MTM_012007Split\Grad3-8 numSpectra	May\MTM_012007Split\Grad3-8 totalIntensity	 protein_mw	 accession_number	SwissProt ID	 accession_numbers	 coverage_maps	 percentCoverage	 percentCoverages	 numPepsUnique	 scoreUnique	 groupNum	 numSubgroups	 entry_name							
0	0.00E+00	1	2.86E+07	2	2.13E+08	2	1.22E+08	1	3.06E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	13909.6	52788570		10383781|1070478|83923	0+6+12+4+11+6+92+16+43+54+22+8+54+23+65|0+6+12+4+11+6+51+18+23+16+43+54+22+8+54+23+65|0+22+10+7+9+339+18+12	71	71|67|8	30	634.33	1	1	3-phosphoglycerate kinase	 Pgk1p						
4	6.97E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	57502.5	51830210	Q66RI3	6319279|4180|101735|6324923	0+6+55+7+23+28+12+46+23+16+20+4+42+87+25+2+13+4+12+6+69|0+6+55+7+23+28+12+46+23+16+20+4+42+113+13+4+12+6+69|0+173+17+46+15+176+6+94|0+21+11+474	58	58|53|7|2	30	624.51	2	1	"Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration"	 Cdc19p						
3	1.09E+08	1	2.55E+08	2	4.31E+07	1	1.50E+07	1	3.35E+07	0	0.00E+00	0	0.00E+00	1	5.23E+06	48948.1	51013871	Q6B170	6321968|6321693|119336|482678	0+15+35+10+43+2+15+6+13+46+10+6+33+9+29+40+80+17+28|0+15+35+17+36+23+13+46+10+6+33+9+21+48+17+1+28+17+17+17+28|0+15+35+17+36+23+13+46+10+6+33+9+21+48+17+1+28+17+17+17+28|0+92+10+55	65	65|54|54|6	26	599.3	3	2	"Enolase II, catalyzes the first common step of glycolysis and gluconeogenesis"	 expression is induced in response to glucose	 Eno2p					
0	0.00E+00	0	0.00E+00	1	1.41E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	16225.1	51012665	P42949	6322666|3694	0+39+37+31+11+71+11+54+10+100+11+20+17+41+25+7+12+29+18+275+28+47+18+70+9+40+33+128+20+83+22+19+13+39+10+15+12+130+12+23+14+257+16+174|0+39+37+31+11+136+10+100+11+20+17+41+25+7+12+29+18+275+28+47+18+70+9+59+14+128+20+83+22+19+13+39+10+15+12+165+14+241	17	17|16	27	544.23	4	1	"Beta subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids"	" contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities"	 Fas1p					
4	6.57E+07	0	0.00E+00	0	0.00E+00	1	1.84E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	29075.1	45720060	P07283	6324707|849206|47176791	0+32+18+70+24+6+30+63+10+2+16+31+10+40+18+42+17+11+25+90+23+54+19+60+12+28+34+29+9+19|0+32+18+70+24+6+30+63+10+2+16+31+10+40+18+42+17+11+25+50|0+47+19+60+12+28+34	31	31|32|32	21	454.65	5	1	"Elongation factor 2 (EF-2), also encoded by EFT2"	 catalyzes ribosomal translocation during protein synthesis	" contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin"	 Eft1p				
0	0.00E+00	3	2.06E+08	1	1.09E+08	1	4.85E+07	0	0.00E+00	0	0.00E+00	1	8.12E+06	0	0.00E+00	16403.7	42742310	P42949	6321631|45269553|3720|6322468|3724|6322409|3726|1362244|1362246|7431530	0+3+8+42+63+27+17+24+11+3+15+4+41+11+35+3+25|0+3+8+42+63+27+17+24+11+3+15+4+41+49+25|0+3+8+42+63+27+17+24+11+3+15+4+29+3+9+11+35+3+14+11|0+3+8+42+18+30+15+27+17+24+11+3+15+4+41+49+25|0+3+8+42+18+30+15+27+17+24+11+3+15+4+15+14+12+49+25|0+71+7+23+15+27+17+24+11+3+15+4+29+86|0+71+7+23+15+27+17+24+11+3+15+4+29+86|0+142+17+24+11+3+15+4+15+89+10+1|0+183+11+3+15+4+29+86|0+185+11+3+15+119	64	64|54|60|45|40|28|28|20|16|7	19	411.86	6	2	Glyceraldehyde-3-phosphate dehydrogenase 3	 Tdh3p						
2	1.05E+08	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	20151.2	42742305	P40159	6324486|1168350|929845|6323961|6323729	0+8+52+24+8+105+61+3+38+4+8+4+17+9+7|0+8+10+4+38+24+8+105+61+3+38+4+8+4+17+9+7|0+11+34+3+38+4+8+4+17+1|0+84+8+195+12+4+8+30+7|0+66+21+281+7	54	54|53|80|10|7	18	383.24	7	1	"Alcohol dehydrogenase, involved in the production of certain carboxylate esters"	 Adh1p						
1	4.39E+07	1	2.18E+07	1	6.85E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	9436.4	41629682	Q3E834	6324120|6319972	0+38+13+7+8+12+9+8+19+29+14+4+30+32+22+6+10+41+23+6+14+6+9+91+15+35+20+9+8+75|0+38+13+7+8+12+9+8+19+29+14+4+30+32+22+6+10+41+23+6+14+6+9+91+15+35+20+9+8+75	34	34|34	19	382.97	8	2	stress-seventy subfamily B	" Heat shock protein of HSP70 family, homolog of SSB1"	 Ssb2p					
0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	1	8.02E+06	1	3.07E+06	1	2.46E+06	0	0.00E+00	215004.3	40457587	P38631	6323840|6325016|482717	0+32+33+21+12+91+7+42+14+23+28+11+7+41+14+46+10+13+14+6+11+39+21+12+12+6+9+32+7+91|0+32+14+8+11+21+12+91+7+47+13+23+28+11+7+41+14+19+17+10+10+13+14+6+11+39+21+30+9+32+7+91|0+51+14+89+11+72+12+146	28	28|27|9	18	378.44	9	2	constitutively expressed heat shock protein	 Hsc82p						
0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	1	3.69E+06	0	0.00E+00	1	5.76E+06	86870.2	27316977	P38631	1230686|32693297|32693293|313261	0+5+15+17+7+11+9+20+12+68+14+46+87+58+10+14+28+7+9+21|0+16+7+11+9+20+12+68+14+46+87+58+10+18|0+7+7+11+9+20+12+68+14+46+87+58+10+18|0+5+15+17+7+11+9+20+12+68+14+59	41	41|36|37|24	18	356.33	10	1	Tef1p: Elongation factor 1-alpha							
