?	24,12,19,16,20,9	6,17,0,13,3,14,14,6,10,12,5	27,44,9,20
YAL003W	22,17,4,1,3,16,13,24	8,6,14,14,7,13,4,9,6,19	18,41,41
YAL030W	2,21,23,11,4,6,22,11	59,25,10,6	96,4
YAL038W	0,85,4,11	5,32,5,5,10,4,12,27	24,5,25,24,22
YAL040C	13,5,35,34,13	7,18,20,23,22,10	8,14,21,10,12,7,8,5,15
YAR007C	82,18	7,11,10,14,3,2,1,11,17,11,13	16,16,12,5,14,9,13,3,12
YBL005W	24,5,28,40,3	15,15,10,14,5,16,25	34,29,30,2,5
YBL021C	6,3,10,15,7,15,6,7,1,16,14	24,7,22,12,6,20,9	42,58
YBL026W	42,11,1,46	3,38,59	38,62
YBL050W	3,19,6,18,8,2,4,16,24	23,11,5,6,8,22,18,7	30,35,35
YBL069W	2,0,19,13,20,14,11,3,18	8,3,12,13,14,18,13,9,10	0,10,5,17,8,16,11,17,16
YBL079W	35,34,31	9,44,41,1,5	19,31,20,30
YBR018C	27,68,5	40,7,49,4	6,30,3,31,30
YBR019C	11,7,4,10,13,10,7,13,2,14,9	8,12,2,5,8,9,12,9,10,9,16	25,3,32,40
YBR020W	6,7,11,6,12,12,8,6,6,10,16	11,89	23,39,7,31
YBR043C	17,27,20,17,19	28,9,5,1,24,24,9	17,7,10,1,8,17,1,7,17,15
YBR045C	27,1,10,1,9,21,5,14,12	25,10,24,19,22	14,44,19,16,7
YBR050C	24,4,7,22,15,28	5,14,17,16,9,17,17,2,3	16,8,15,3,22,9,27
YBR072W	24,16,9,4,9,14,7,17	0,7,15,11,19,18,3,0,15,12	45,55
YBR093C	23,10,28,18,21	10,0,4,2,20,13,11,3,5,18,14	5,11,2,0,16,8,15,2,11,16,14
YBR109C	0,18,10,14,6,8,2,16,26	27,22,17,8,26	36,64
YBR112C	28,19,32,13,8	33,27,8,29,3	29,18,23,16,14
YBR118W	12,0,12,14,8,20,0,8,4,22	93,7	28,17,0,21,8,26
YBR135W	22,33,45	5,56,39	58,42
YBR155W	0,14,13,15,3,4,9,9,7,15,11	1,2,17,9,17,5,12,8,13,9,7	17,26,18,7,9,23
YBR160W	17,34,10,4,26,9	20,14,66	23,21,2,6,22,1,0,25
YBR170C	6,0,18,10,18,16,18,14	1,2,12,4,17,1,10,13,8,11,21	13,4,11,17,11,4,14,8,8,10
YBR190W	11,15,9,0,15,4,1,16,6,15,8	7,15,6,4,13,16,11,11,17	29,24,8,39
YBR217W	21,7,19,0,4,2,13,14,12,8	7,5,1,11,20,14,4,8,3,27	20,17,2,4,17,4,16,20
YBR248C	12,17,4,4,7,18,32,6	4,21,6,5,11,17,20,16	81,12,7
YBR274W	4,17,10,5,11,3,16,16,11,7	22,11,38,1,28	7,10,6,5,5,12,25,4,26
YCL030C	3,4,25,27,17,6,18	89,9,2	18,35,43,4
YCL032W	18,3,14,3,16,16,6,24	52,48	29,21,24,26
YCL040W	27,1,14,28,30	17,83	8,15,9,10,14,16,1,2,5,20
YCL067C	15,1,11,17,18,1,7,3,8,19	11,4,26,18,27,14	5,19,18,1,18,3,19,17
YCR012W	44,28,28	15,11,8,10,5,34,17	34,32,34
YCR084C	18,20,7,9,17,14,4,11	5,20,3,12,20,18,12,10	2,46,52
YCR086W	18,17,4,12,6,0,9,11,23	2,18,1,32,32,15	15,14,11,1,9,6,11,0,10,23
YDL013W	25,17,27,31	3,15,19,12,16,18,12,5	18,19,30,33
YDL014W	34,20,14,32	3,17,4,12,16,6,11,12,7,12	8,3,14,16,10,2,17,30
YDL023C	29,1,18,13,18,7,14	0,12,11,6,27,6,7,23,8	34,66
YDL030W	2,14,29,19,22,14	23,14,6,1,20,12,2,22	44,7,49
YDL063C	17,18,1,15,4,11,12,22	10,17,14,13,5,9,9,3,20	1,33,5,21,12,7,21
YDL075W	18,15,16,1,12,18,3,8,9	16,25,23,9,27	47,53
YDL078C	14,2,22,13,17,14,1,17	8,13,3,12,8,15,9,12,20	27,32,32,9
YDL081C	5,14,19,14,9,5,7,6,21	7,19,31,43	3,0,15,3,17,17,20,12,13
