ID, ,,Data1,,, ,,Data1,,
?, ,0.091980017,0.752938294,0.064961223,0.681301984, ,0.752938294,0.064961223,0.681301984,0.089599295
YAL003W, ,0.7414284,0.009479316,0.62478087,0.931837084, ,0.386853177,0.610166493,0.447707073,0.81571465
YAL030W, ,0.462007354,0.528812234,0.232402213,0.470241582, ,0.13446573,0.747177778,0.297942053,0.093089866
YAL038W, ,0.505981777,0.520010291,0.890876778,0.526013626, ,0.932736611,0.229674878,0.240937433,0.716689586
YAL040C, ,0.240495184,0.421370992,0.647521103,0.881308416, ,0.079619443,0.667661038,0.442345431,0.529493657
YAR007C, ,0.157400284,0.680464103,0.982082157,0.8125701, ,0.216980322,0.321910934,0.401291535,0.730388758
YBL005W, ,0.494906976,0.483332748,0.896876469,0.263833106, ,0.433916139,0.521190567,0.468991538,0.06183353
YBL021C, ,0.919437953,0.783711211,0.329150525,0.434318109, ,0.924667019,0.208064643,0.342604606,0.970246961
YBL026W, ,0.755020965,0.173868464,0.042493718,0.525537098, ,0.798878241,0.083156985,0.568265959,0.706228428
YBL050W, ,0.978577987,0.489214657,0.194600873,0.396518384, ,0.702221384,0.942447471,0.415733452,0.655132175
YBL069W, ,0.799071441,0.104263557,0.774218426,0.026333076, ,0.393989574,0.157362943,0.943627346,0.966876538
YBL079W, ,0.571619837,0.222269031,0.724979419,0.046741554, ,0.603873811,0.554817253,0.877540795,0.56157555
YBR018C, ,0.781841237,0.629624981,0.658217914,0.966209459, ,0.144008855,0.582525323,0.913763964,0.796445882
YBR019C, ,0.219875363,0.573460871,0.317319854,0.596988599, ,0.582522555,0.619342595,0.997663977,0.924422242
YBR020W, ,0.788770092,0.517818355,0.345108087,0.666650717, ,0.332050581,0.850451806,0.472623358,0.944874857
YBR043C, ,0.649634292,0.269549412,0.004307599,0.256205334, ,0.587443023,0.726327148,0.906175387,0.504399033
YBR045C, ,0.944016561,0.200396196,0.921679513,0.210271416, ,0.040549576,0.805490559,0.311205589,0.267809472
YBR050C, ,0.436365355,0.834167474,0.072754534,0.87813645, ,0.796527736,0.895491373,0.918714475,0.636843468
YBR072W, ,0.807698722,0.848919325,0.034658254,0.218455556, ,0.642302869,0.546800517,0.713066332,0.182796736
YBR093C, ,0.095368203,0.835766115,0.981162435,0.57112546, ,0.329972674,0.315115744,0.053351549,0.464980913
YBR109C, ,0.179985638,0.603005826,0.522806131,0.810536069, ,0.440730283,0.678389284,0.638759868,0.40358373
YBR112C, ,0.682163056,0.840790108,0.611033672,0.500662545, ,0.258922693,0.166093874,0.805889037,0.646665373
YBR118W, ,0.926011272,0.03569936,0.003668446,0.527329341, ,0.54016926,0.128800209,0.345790336,0.328903984
YBR135W, ,0.347637931,0.135170342,0.843393359,0.820280252, ,0.907031488,0.17664389,0.521384775,0.961922536
YBR155W, ,0.69277602,0.171326118,0.880455501,0.752972074, ,0.071987022,0.345054787,0.840596132,0.257589887
YBR160W, ,0.971232347,0.064495842,0.525412261,0.623808684, ,0.766734349,0.977199861,0.671510921,0.906295851
YBR170C, ,0.007561904,0.755462153,0.997333865,0.331929725, ,0.544243186,0.27075015,0.098981155,0.582284049
YBR190W, ,0.639523755,0.184689232,0.690550931,0.935143264, ,0.059138282,0.902451362,0.056793537,0.371212137
YBR217W, ,0.840418409,0.31252999,0.445155543,0.989665158, ,0.724587445,0.511149789,0.517225659,0.506514379
YBR248C, ,0.788504237,0.467567227,0.438193467,0.297351893, ,0.234541715,0.732235375,0.633876015,0.889252919
YBR274W, ,0.049368905,0.806398649,0.877718847,0.761025941, ,0.320910296,0.392861094,0.658346762,0.195950461
YCL030C, ,0.520500575,0.926090259,0.811287141,0.595619807, ,0.859510217,0.766328267,0.622931305,0.467115315
YCL032W, ,0.84014616,0.078907995,0.766945979,0.475866574, ,0.633703554,0.520704447,0.501500505,0.022500668
YCL040W, ,0.182168056,0.969087568,0.467767225,0.034484997, ,0.613335657,0.810509546,0.637151279,0.649162131
YCL067C, ,0.608102336,0.105623044,0.779952913,0.726120268, ,0.744119679,0.603804503,0.327790906,0.057976354
YCR012W, ,0.545971748,0.782348298,0.282580231,0.575641919, ,0.213585507,0.553244927,0.982682314,0.752543834
YCR084C, ,0.312255243,0.936821044,0.808322341,0.283615979, ,0.018567121,0.788628897,0.83655529,0.33482395
YCR086W, ,0.022039371,0.979944178,0.993988012,0.351185805, ,0.207956957,0.488052263,0.11578363,0.37016567
YDL013W, ,0.752264969,0.932053981,0.37315009,0.444740635, ,0.323712545,0.964047557,0.126058938,0.846277411
YDL014W, ,0.748365535,0.183047271,0.38372967,0.693900582, ,0.028471338,0.432883831,0.666767613,0.756438079
YDL023C, ,0.689317931,0.858701978,0.410072219,0.996908722, ,0.96666528,0.82599082,0.859986662,0.673493926
YDL030W, ,0.305904349,0.272371744,0.470208632,0.631806152, ,0.731830463,0.027425148,0.649417713,0.817616379
YDL063C, ,0.805937194,0.315780166,0.461895865,0.96648744, ,0.961032913,0.785692391,0.443340318,0.955486382
